Rule	Text
5.1.7.	Pay Asset-Costs: Sixth, the player pays all asset-costs (if any) (see Rule 1.14.2a).
5.1.7a	If any asset-cost is not paid in full, the card is illegal to play and the game state is reversed to before the card is announced. (See Section 1.10.3	- Game State)
5.1.8.	Calculate Effect-Costs: Seventh, all effect-costs of the proposed cards are calculated.
5.1.8a	If any effect-cost can not be paid, based on the order declared by the player, the card is illegal to play and the game state is reversed to before the card was announced. (See Section 1.10.3	- Game State)
5.1.9.	Pay Effect-Costs: Eighth, the player pays all effect-costs.
5.1.9a	If a replacement effect modifies an effect-cost, and that cost cannot be paid (the effect does not resolve successfully), the card can still be played.
5.1.10.	Play: Ninth and finally, the card is now considered played and the player regains priority.
5.2.	Activated Abilities
5.2.1.	An activated ability is an ability that can be activated to put an activated-layer on the stack. Activated abilities are always written in the format “[LIMIT?] [TYPE] — [COST]: [ABILITIES] [CONDITION?]”.
5.2.1a	The LIMIT (if any) is written at the start of the ability and specifies the maximum number of times the ability can be activated. If there is no limit, the ability can be activated any number of times.
5.2.1b	The TYPE is written directly before the hyphen and specifies the type of the ability and the type of the activated-layer created by activating the ability.
5.2.1c	The COST is written between the dash and colon. It specifies the cost to be paid to activate the ability. A cost of “0” specifies the resource cost to activate the ability is zero.
5.2.1d	The ABILITIES are written after the colon and specify the base abilities of the activated-layer. When the activated-layer resolves, the resolution abilities of the layer generate effects.
5.2.1e	The CONDITION (if any) is written at the end of the ability and specifies the activation condition. If the activated ability has an activation condition and that condition is not met, the ability can not be activated.
5.2.2.	To activate an activated ability is to create an activated-layer on the stack. Only an object’s controller can activate its activated ability unless specified by a rule or effect. Activating an activated ability involves the following:
5.2.2a	Announce the activated ability to be activated. The activated-layer is created in the stack zone under that player’s control and becomes the topmost layer of the stack. The activated-layer is created with the same supertypes and types as the source of the activated ability. Continuous effects begin to apply to the ability layer.
5.2.2b	The remainder of the process for activating an activated ability is identical to the process for playing a card listed in steps 5.1.3-5.1.10, substituting “play” for ‘activate‘, and “card” for “ability”.
5.2.3.	If an effect allows a source to be activated additional times, the activated ability on the source may be activated to exceed its LIMIT that many times.
5.2.3a	If an effect allows a source to be activated additional times, and it has multiple activated abilities, the player instructed by the effect selects which of those abilities the effect applies to the time the ability is activated beyond its LIMIT.
5.2.3b	If an effect allows a source to attack additional times, it refers to activating an ability on the source with the attack effect. Example: Twinning Blade has the text “You may attack an additional time with target sword this turn.”, which allows the player to activate an activated ability (with the attack effect) on the target sword an additional time past its LIMIT.
5.2.3c	Effects that allow the additional activation of an activated ability are additive. Effects that state how many times an ability can be activated in total, set the LIMIT of the activated ability (or the total number of times that all activated abilities), which can be increased by effects that allow the additional activation of an ability. Example: Blood on Her Hands has the text “[...] Target 1H weapon may attack twice this turn.”, which is an effect that sets the total number of times an activated ability (with the attack effect) can be activated on the target to two. If this effect is applied two or more times, the activated ability (with the attack effect) can still only be activated twice.
5.2.4.	A hidden activated ability (HAA) is an activated ability that is functional when its source is a private object (and not in the deck zone). A hidden activated ability is typically written in the format “[LIMIT?] [TYPE] — [COST]: [ABILITIES] [CONDITION]”, where the CONDITION specifies the privacy status and/or zone of the object for the ability to be functional.
5.2.4a	When the activation condition for a hidden activated ability is met and the owner has priority, the owner may activate the ability. If they do, the source of the ability becomes public and remains public until the activated-layer resolves or otherwise ceases to exist. When an object becomes public this way, it does not trigger any abilities and can not be replaced by any replacement effects.
5.3.	Resolution Abilities & Resolving Layers
5.3.1.	A resolution ability is an ability that generates effects when its source resolves as a layer on the stack.
5.3.2.	If the stack is not empty and all players pass in succession, the top layer of the stack resolves (with the exception of the Layer step of combat Section 7.1 - Layer Step). When a layer successfully resolves, the resolution abilities of that layer generate their effects.
5.3.2a	If a layer fails to resolve, the resolution abilities of that layer do not generate their effects.
5.3.2b	If the parameters of any effects of a resolution ability are undetermined, those parameters are determined before those effects are generated. (See Rule 1.8.5)
5.3.2c	If the resolution of a layer generates multiple effects, effects are generated immediately and in the order specified by the resolution abilities. If any generated effect fails, the remaining effects continue to be generated.
5.3.3.	A layer can fail to resolve in the following situations:
5.3.3a	If the layer has a resolution ability with a targeted effect, and one or more targets were declared when the layer was put onto the stack, at least one of those targets must still be a legal target - otherwise, the layer fails to resolve.
5.3.3b	If the layer is a triggered-layer created by a triggered effect with a state-trigger condition, the state-trigger condition must be met by the current game state - otherwise, the layer fails to resolve. Example: An attack with phantasm is defended by an attack action card with 6{p}. Before the phantasm triggered-layer effect resolves, the attacking hero plays Blinding Beam, giving the defending card −2{p}. When the phantasm triggered-layer resolves, the game state condition that caused phantasm to trigger is no longer true, therefore the phantasm triggered-layer fails to resolve and does not generate any effects.
5.3.3c	If the layer is an attack-layer, and the source has ceased to exist, or the target of the attack is no longer legal.
5.3.4.	After a layer successfully resolves or fails to resolve, the layer is moved from the stack to the owner’s graveyard, and the turn player gains priority, with the following exceptions:
5.3.4a	A non-card layer ceases to exist instead of being moved to the graveyard.
5.3.4b	A card layer that becomes a permanent is moved to the arena instead of being moved to the graveyard. (See Rule 8.2.4, Rule 8.2.12, Rule 8.2.5, and Rule 8.2.9)
5.3.4c	A card with the type defense reaction becomes a defending card and is moved onto the current chain link instead of being moved to the graveyard. (See Rule 8.1.3)
5.3.4d	A rule or effect states that something happens where the turn player does not have priority instead of the player gaining priority.
5.4.	Static Abilities
5.4.1.	A static ability is an ability that generates effects without resolving a layer on the stack. Static abilities are written as statements.
5.4.2.	Static abilities that are functional generate static continuous effects. (See Rule 6.2.3)
5.4.3.	A meta-static ability is a static ability that generates effects that apply to the rules outside of the game.
5.4.3a	If a meta-static ability that modifies rules outside the game ceases to exist during a game, it does not affect the legality of the rules followed outside the game. Example: Shiyana, Diamond Gemini has the text “You may have specialization cards of any hero in your deck.”. If the player controlling Shiyana has specialization cards in their deck, and during a game Shiyana lost this meta static ability, having specialization cards in the deck is still legal.
5.4.4.	A play-static ability is a static ability that generates effects that apply to the playing of its source card.
5.4.4a	An additional-cost ability is a play-static ability that adds one or more asset-costs and/or effect-costs to play the source card. Additional-cost abilities are typically written in the format “As an additional cost to play this [COST]”, where COST is the additional cost to be paid. An additional-cost ability is optional if the COST of the ability uses the term “may” and must be declared when playing a card (see Rule 5.1.3).
5.4.4b	An alternative-cost ability is a play-static ability that replaces one or more asset-costs and/or effect-costs to play the source card. Alternative-cost abilities are typically written in the format “You may [COST] rather than pay this’s [BASE]”, where COST is the alternative cost to be paid instead of the cards BASE asset-costs and/or effect-costs. Alternative-cost abilities are optional and must be declared when playing a card (see Rule 5.1.3). An alternative cost has no effect on any additional costs that must be paid or modifications to the resource cost.
5.4.4c	If a play-static ability generates a triggered effect, the effect triggers immediately if the trigger condition is met. Triggered effects of play-static abilities are typically written in the format “[EFFECT]. When you do, [Abilities]”, where the trigger condition is playing the card using the proceeding effect of the play-static ability. Note: Cards printed before 2022 have also used the format “[COST]. If you do, [ABILITIES]”. Example: Rift Bind has the text “You may play Rift Bind from your banished zone. If you do, it gains +X{p}, where X is the number of ’non-attack’ action cards you have played this turn.”, which is a play static ability that generates a delayed-triggered effect that is triggered when the Rift Bind is played from the banished zone.
5.4.4d	If a play-static ability generates a replacement effect, the effect replaces the card as it is played if the replacement condition is met. Replacement effects of play-static abilities are typically written in the format “[EFFECT]. As you do, [Abilities]”, where the replacement condition is playing the card using the proceeding effect of the play-static ability.
5.4.5.	A property-static ability is a static ability that defines the property, or value of a property, on an object that would normally be found elsewhere on that object. Example: Mutated Mass has the text “Mutated Mass’s {p} and {d} is equal to twice the number of cards in your pitch zone with different costs.”, which is a property-static ability that defines the power and defense of the card, otherwise printed on the card with (*).
5.4.5a	Property-static abilities function anywhere in and outside the game.
5.4.6.	A triggered-static ability is a static ability that generates a single triggered effect. (See Section 6.6 - Triggered Effects)
5.4.6a	If the source of a triggered-static ability ceases to exist from an event that would trigger its effect, and the ability was functional immediately before the event occurs, then the triggered effect is triggered. Example: Merciful Retribution has the text “Whenever an aura or attack action card you control is destroyed, deal 1 arcane damage to target hero. [...]”. If Merciful Retribution is in the arena under the control of a player and is destroyed, its triggered effect will trigger, because the destruction event of Merciful Retribution is also the condition of the effect.
5.4.7.	A while-static ability is a static ability that is functional when its while-condition is met. while-conditional abilities are written in the format “While [CONDITION], [ABILITY]”, where the ABILITY is the static ability that is functional whenever the CONDITION is met. Example: Yinti Yanti has the text “While Yinti Yanti is defending and you control an aura, it has +1 {d} .”, which is a while-static ability that is functional when it is a non-permanent defending card because it has a while-condition that is met when the card is defending.
5.4.7a	A while-static ability can be functional when the source is private as long as the while-condition specifies it.
5.4.7b	A hidden triggered ability is both a while-static ability and triggered-static ability, where the while-condition specifies that the source is private or in a private zone. If the triggered condition is met while the ability is functional and the source is private, the owner may decide to trigger the effect. If they do, the source of the ability becomes public and the triggered effect produces a triggered-layer to be added to the stack. The source remains public until the triggered-layer resolves or otherwise ceases to exist, and then it returns to being private. Example: The Librarian has the text “While The Librarian is face down, at the start of your turn, you may turn him face up.”, which is a hidden triggered ability that is functional when The Librarian is face down in arsenal and the start of turn event occurs. The player decides to trigger the effect, The Librarian becomes public, and when its triggered-layer resolves it is officially turned face up in the arsenal.
6.	Effects
6.0.	General
6.1.	Discrete Effects
6.1.1.	A discrete effect is an effect that changes the game state by producing an event (see Section 1.9 - Events). Discrete effects have no duration, and after the completion of their event, they have no further influence of the game state.
6.1.2.	Discrete effects are atomic. If multiple discrete effects would be generated, they are generated and produce their event one at a time. Example: Sand Sketched Plan has the text “Search your deck for a card, put it into your hand, discard a random card, then shuffle your deck.”, which is resolution ability that generates four atomic discrete effects: search (Rule 8.5.16), put (Rule 8.5.12), discard (Rule 8.5.5), and shuffle (Rule 8.5.17). Each effect is generated and produces an event before the next one in order is generated.
6.1.3.	If a discrete effect is conditional (see 1.8.3), its condition is evaluated only once, at the time the effect would be generated. If the condition is met, the effect is generated - otherwise it is not.
6.2.	Continuous Effects
6.2.1.	A continuous effect modifies the state and properties of objects, and/or the rules of the game. Continuous effects either have a lasting influence effect on the game state, and continue for their specified duration, or for as long as their source ability is functional.
6.2.2.	A layer-continuous effect is a continuous effect generated by the resolution of a layer. Layer continuous effects typically have a specified duration.
6.2.2a	A layer-continuous effect starts as soon it is generated and ends after a specified duration. If no duration is explicitly specified by the effect, then the layer-continuous effect ends when it is no longer applicable.
6.2.2b	If a layer-continuous effect has variable values (such as X), the values of those variables are determined when the continuous effect is generated and do not change thereafter. If the effect is a continuous effect that applies to an object that does not yet exist, the variables are determined when the effect first applies to an object and do not change thereafter. Example: Tear Limb from Limb has the text “[...] the next Brute attack action card you play this turn gains +X{p}, where X is its base {p}.”, which is a layer-continuous effect where X is determined at the time the effect first starts to apply to an object, not when it is first generated.
6.2.2c	If a layer-continuous effect starts to apply to an object, it continues to apply to that object even if the properties of that object change. Example: Primeval Bellow (red) has the text “Your next Brute attack this turn gains +5{p}.”. If the player plays and resolves Primeval Bellow, then Pack Hunt (a brute attack); even if the supertype brute of Pack Hunt is removed, the effect of Primeval Bellow will still apply to the Pack Hunt.
6.2.2d	If a layer-continuous effect is conditional on being generated (see 1.8.3), its condition is evaluated only once, at the time the effect would be generated. If the condition is met, the effect is generated - otherwise, it is not. If the effect is conditional on being applied, the condition is still checked continuously (see Rule 1.8.3c).
6.2.3.	A static-continuous effect is a continuous effect generated by a static ability. Static-continuous effects never have a specified duration.
6.2.3a	A static-continuous effect starts as soon as the static ability that generated it becomes functional and ends when the static ability becomes non-functional (see Rule 1.7.5).
6.2.3b	If a static-continuous effect has variable values (such as X), the value of those variables are determined based on the current game state and are updated if the game state changes.
6.2.3c	Static continuous effects only apply to an object while it has the properties described by the effect - if the properties of an object change, the static effect may no longer apply to that object.
6.2.3d	If a static-continuous effect is conditional on being generated (see 1.8.3), its condition is evaluated at all times. The effect is generated when the condition is met and ceases to exist when the condition is not met. Example: Luminaris has the text “If there is a yellow card in your pitch zone, Illusionist attacks you control have go again.”, which is a conditional static-continuous effect that only exists when there is a card with a yellow color strip in the controlling player’s pitch zone and does not exist otherwise.
6.2.4.	If a continuous effect would only apply to a future object that is yet to exist, it starts to apply to the next object that meets the specification of the effect. Example: Come to Fight has the text “The next attack action card you play this turn gains +3{p}.”, which is a layer-continuous effect that applies to the next attack action card the player plays after the generation of the effect.
6.3.	Continuous Effect Interactions
6.3.1.	Continuous effects that modify the rules of the game are applied simultaneously before continuous effects that modify objects. If there are two or more continuous effects that modify the state and/or properties of objects in the game, the effects are applied using the staging system. These effects are grouped into stages and are applied in ascending stage order, then if there are two or more effects in the same stage, the effects are applied using substage order, then timestamp order. Example: Hypothermia has the text “Attacks you control can’t gain go again.”, which is a continuous effect that modifies the rules of the game and is applied before any effects would add the go again ability to an attack you control.
6.3.2.	Stage order is defined by how an effect applies to the object. Effects are grouped into stages and are applied in ascending stage order. If there are two or more effects in the same stage, the effects are applied using substage order (see Rule 6.3.3). • Stage 1: Effects that modify copyable properties applied. (See Rule 8.5.22) • Stage 2: Effects that modify or are dependent on the controller are applied. • Stage 3: Effects that modify or are dependent on name, color strip, or text box are applied. • Stage 4: Effects that modify or are dependent on types or subtypes areapplied. • Stage 5: Effects that modify or are dependent on supertypes are applied. • Stage 6: Effects that modify or are dependent on abilities are applied. • Stage 7: Effects that modify or are dependent on the base values of numeric properties are applied. • Stage 8: Effects and counters that modify or are dependent on the values of numeric properties are applied.
6.3.2a	An effect is dependent on a stage if the application of another effect in that stage would have changed the first application of this effect, and that stage is higher than the stage for this effect. An effect is independent if it is not dependent on any stages. Dependent effects are applied in the stage on which they are dependent. Example: Thump has the text “While Thump’s {p} is greater than its base {p}, it has dominate and ‘When this hits a hero, they discard a card.’ ” which is an effect that is dependent on the value of the power {p} numerical property (stage 8) and affects the object’s abilities (stage 6). Because effects in stage 8 can change the application of Thump’s effect, and stage 8 is higher than stage 3, Thump’s effect is considered dependent and is applied in stage 8 (substage 7).
6.3.2b	If an effect is dependent on two or more stages, it is applied at the highest of all those stages.
6.3.2c	If separate parts of an effect are applied in different stages, the separate parts of the effect each apply in their respective stages.
6.3.3.	Substage order is used if there are two or more effects in the same stage and is defined by the dependence and type of modification within each stage. For stages 1–6, substage order is to apply independent effects before dependent effects. For stages 7–8, effects are grouped into the following substages and are applied in ascending substage order. • Substage 1: All effects that add/remove a numerical property to/from the object are applied. • Substage 2: Independent effects that set the value of a numerical property are applied. • Substage 3: Independent effects that multiple the value of a numerical property are applied. • Substage 4: Independent effects that divide the value of a numerical property are applied. • Substage 5: Independent effects that add to the value of a numerical property are applied. • Substage 6: Independent effects that subtract from the value of a numerical property are applied. • Substage 7: Dependent effects are applied.
6.3.3a	If there are two or more effects in the same substage, the effects are applied using timestamp order (see Rule 6.3.4).
6.3.4.	Timestamp order is used when there are two or more effects in the same substage and is defined by the timestamp of when an effect was first generated. Effects are applied in chronological timestamp order. If there are two or more effects with the same timestamp, the order is determined by the turn player.
6.3.4a	The timestamp of an effect is the moment it was generated by an ability. Layer-continuous effects are generated when their source resolves as a layer on the stack (see Rule 6.2.2) and static-continuous effects are generated when the static ability becomes functional (see Rule 6.2.3).
6.3.4b	If two or more effects start to apply to an object at the same time the turn player decides the order that effects apply. This decided order is only used to determine the order of effects with the same timestamps. Once a player has decided the order of effects, the order can not be changed.
6.3.4c	When a new effect is applied to an object in a given substage of ordered effects, that effect is ordered after the existing effects in that substage.
6.3.5.	Continuous effects are applied automatically, in order, and all modifications to the game state occur instantaneously and are considered a single change in state for purposes of effects. Example: Talisman of Featherfoot has the text “When an attack you control gains exactly +1{p} from an effect during the reaction step, destroy Talisman of Featherfoot and the attack gains go again.”. If an attack has 0 base power and is affected by a -1{p} continuous effect, then it is affected by a new +2{p} effect during the reaction step, the attack’s modified power increases from 0 to 1 which triggers Talisman of Featherfoot’s effect.
6.3.5a	If an object is modified by an effect that would make it eligible/ineligible for another effect in the current or future stage/substage, that effect is added/removed to the set of effects to be applied in that stage/substage. Example: Minnowism (red) has the text “The next attack action card with 3 or less base you play this turn gains +3{p}.”, which is a layer-continuous effect applied in stage 8. If an attack action card with 6 base power is played, and its base power is reduced to 3 in stage 7, it becomes eligible for the application of Minnowism’s effect, which will be added and applied in the later stage 8.
6.3.5b	If an object is modified by an effect that would make it applicable to another effect in a previous stage/substages, that other effect is not retroactively applied.
6.3.6.	Continuous effects that remove a property, or part of a property, from an object do not remove properties, or parts of properties, that were added by another effect. Example: Erase Face has the text “When Erase Face hits a hero, cards and tokens they own lose all class and talent types until the end of their next turn.”, which removes any existing class and talent supertypes of the object, but does not remove or prevent the addition of class and talent supertypes gained from other effects, such as Brand with Cinderclaw.
6.3.7.	Continuous effects only prevent properties, or parts of properties, from being added, removed, or otherwise modified if they explicitly specify. Example: Hypothermia has the text “Attacks you control can’t gain go again.”, which prevents effects from adding the go again ability to the object, but does not remove the go again ability if it is a base ability and derived from either the text box of the object or set as a copyable property of the object.
6.4.	Replacement Effects
6.4.1.	A replacement effect is a type of continuous effect, or a part of a preceding effect, that replaces an event with a modified event. A replacement effect typically specifies the conditions for the event to be replaced and the partial or full replacement of the event.
6.4.2.	When an event is about to occur that satisfies the condition of a replacement effect, the replacement effect is considered active for that event.
6.4.3.	A replacement effect must exist before an event occurs in order to replace it. If a replacement effect is generated after an event occurs, it does not retroactively replace that event.
6.4.4.	A replacement effect can replace an event that has been modified by another replacement effect, as long as the effect is active for that modified event.
6.4.5.	A replacement effect can only replace an event once per original event. It can not replace its own modified event, or any further modified events produced other replacement effects if it has already replaced the event.
6.4.6.	If an event is replaced, the original event does not occur and the modified event occurs instead. The modified event may trigger abilities and cause other replacement effects to be active that the original event would not have.
6.4.7.	A self-replacement effect is a replacement effect that is either part of a preceding effect generated by the same ability or an independent effect that applies to an effect generated by a leading connected ability (see Rule 1.7.7). A self-replacement effect is typically written in the format “[CONDITION], instead [MODIFICATION]”, where EFFECT (if any) is the preceding effect the replacement applies to, CONDITION specifies the replacement condition, and MODIFICATION specifies the partial or full replacement of the event created by the preceding effect. Example: Weave Earth (red) has the text “The next Earth or Elemental attack action card you play this turn gains +3{p}. If it’s fused, instead it gains +4{p}.”, which is a layer-continuous and self-replacement effect. When an Earth or Elemental attack action card is played and is fused, the self-replacement part of the effect replaces the preceding layer-continuous part of the effect, and the card gains +4{p}.
6.4.7a	A self-replacement effect does not modify any event other than the event created by the proceeding effect on its source, or the effect of the leading connected ability.
6.4.8.	A identity-replacement effect is a static-continuous replacement effect. Identity-replacement effects are typically written in the format “As this enters the arena [MODIFICATION]”, or “this enters the arena (as/with) [MODIFICATION]”, where MODIFICATION describes the modifications to the object as it enters the arena.
6.4.8a	The condition of an identity-replacement effect is its source is moving into the arena.
6.4.8b	An identity-replacement effect that modifies the properties of its source defines its copyable properties.
6.4.9.	A standard-replacement effect is a continuous replacement effect. A standard-replacement effect is typically written in the format “(If / The next) [CONDITION], instead [MODIFICATION]”, where CONDITION specifies the condition for the replacement effect to be active, and MODIFICATION describes the modifications to the effect before it occurs. Note: Cards printed before 2022 have also used the format “(When / Whenever) [CONDITION] instead [EFFECT]”.
6.4.10.	A prevention effect is a replacement effect that replaces a damage event with a modified event. Prevention effects are typically written in a format “[CONDITION?] prevent [PREVENTION]”, where the CONDITION (if any) specifies the replacement condition, and PREVENTION is the modification which specifies the total amount of damage the effect can prevent damage type(s) (if any), the protected object(s) and/or source(s) of the damage event, and additional modifications to the event (if any).
6.4.10a	If a prevention effect is active for a damage event, for every 1 damage of the given type that would be dealt to the protected object from the damage source, the damage is prevented and the remaining prevention amount of the effect is reduced by 1. If the prevention amount has been reduced to 0, any remaining damage is dealt as normal.
6.4.10b	If the prevention damage type is not specified, the prevention applies to any and all damage types. If the prevention damage type is specified, the prevention only applies to that type of damage.
6.4.10c	If the source of the damage event is not specified, the prevention applies to all damage that applies to the specified protected object(s).
6.4.10d	If the protected object is not specified, the prevent applies to all damage dealt by the specified source(s) of the damage event.
6.4.10e	If there are two or more types of damage in the event that the prevention can apply to, and/or two or more protected objects the damage event will deal damage to, the controller of the prevention effect declares each point of damage the effect will prevent.
6.4.10f	If an effect states that a prevention effect can not prevent the damage of an event, the prevention effect still applies to the event but its prevention amount is not reduced. Any additional modifications to the event by the prevention effect still occur. Example: Spectral Shield has the text “If your hero would be dealt damage, instead destroy Spectral Shield and prevent 1 damage that source would deal.”, which is a fixed-prevention effect with an additional modification that destroys the source. If a damage event occurs that can not be prevented, Spectral Shield’s prevention effect applies once to the event but does not reduce the damage dealt and Spectral Shield is still destroyed. Example: Steadfast has the text “Prevent the next 6 damage that would be dealt to your hero this turn by a source of your choice.”, which is an ongoing-prevention effect. If a damage event occurs that can not be prevented, Steadfast’s prevention effect applies once to the event, but does not reduce the damage dealt and does not have its prevention amount reduced. As such will still be able to prevent a total of 6 damage from the source after the event.
6.4.10g	A fixed-prevention effect is a prevention effect that prevents a specific amount of damage of an event that activates it. Fixed-prevention effects are typically written in the format “[CONDITION], prevent [PREVENTION]”. After a fixed-prevention effect prevents damage, any remaining prevention amount is not used to prevent a subsequent damage event. Example: Dissipation Shield has the text “Instant - Destroy Dissipation Shield: The next time your hero would be dealt damage this turn, prevent X damage, where X is the number of steam counters on Dissipation Shield.”, which fixed-prevention effect that applies to the next event that would deal damage to your hero this turn but does not to any further damage events that turn.
6.4.10h	An ongoing-prevention effect is a prevention effect that prevents a specific amount of damage from any number of events that activate it. Ongoing-prevention effects are typically written in the format “[CONDITION?] prevent the next [PREVENTION]”. After an ongoing-prevention effect prevents damage, any remaining prevention amount is used to prevent a future damage event. If the prevention amount of an ongoing-prevention effect is reduced to zero, the effect ceases to exist. Example: Bone Head Barrier has the text “Roll a 6 sided die. Prevent the next X damage that would be dealt to your hero this turn, where X is the number rolled.”, which is an ongoing-prevention effect that applies to every event that would deal damage to your hero this turn until X damage has been prevented in total.
6.5.	Replacement Effect Interactions
6.5.1.	If there are two or more replacement effects that could replace an event with a modified event, then effects are applied based on an order determined by the turn player and then an order determined by each controlling player.
6.5.2.	Select Player: First, the turn player selects a remaining player. When a type of replacement effect is applied, each player applies their active replacement effects of that type one-by-one until they do not control any more active replacement effects of that type; starting with the selected player and ending when there are no more active replacement effects of that type to apply.
6.5.2a	The turn player does not determine the order of effects they do not control, only the first player to apply replacement effects.
6.5.2b	The selected player is determined once per event and does not change.
6.5.3.	Self-replacement and Identity-replacement: Second, each player applies any self- or identity- replacement effects they control.
6.5.4.	Standard-replacement: Third, each player applies any active standard-replacement effects they control.
6.5.5.	Prevention: Fourth, each player applies any active prevention effects they control.
6.5.6.	Fifth and finally, the event occurs.
6.6.	Triggered Effects
6.6.1.	A triggered effect is an effect that can be triggered to put a triggered-layer on the stack. Triggered effects are typically written in the format “[LIMIT?] (When / Whenever / At / The [ORDINAL] time / The next time) [EVENT and/or STATE] [ABILITIES]”. Triggered effects never use the term “instead” (see Section 6.4 - Replacement Effects). Note: Cards printed before 2022 have also used the format “If [EVENT and/or STATE] [ABILITIES]” and “[LIMIT?] effect - (When / Whenever) [EVENT and/or STATE] [ABILITIES]”.
6.6.1a	The LIMIT (if any) specifies the trigger limit, which maximum number of times the effect can be triggered. If there is no limit, the effect can be triggered any number of times.
6.6.1b	The ORDINAL (if any) is one or more ordinal numbers that specify which event(s) within the given duration will match the trigger condition.
6.6.1c	The EVENT and/or STATE specifies the event- and/or state-trigger condition that triggers the effect and creates a triggered-layer. If the triggered condition describes an event (or an event and state), the effect is an event-based triggered effect; if the trigger condition describes a game state, the effect is a state-based triggered effect.
6.6.1d	The ABILITIES specifies the resolution abilities of the triggered-layer created by the effect. When the triggered-layer resolves, the resolution abilities of the layer generate effects.
6.6.2.	An inline-triggered effect is a discrete triggered effect that can only trigger when it is generated. Inline-triggered effects are typically written in the format “When [CONDITION] [EFFECT]”. Example: Belittle has the text “As an additional cost to play Belittle, you may reveal an attack action card with 3 or less base p from your hand. When you do, search your deck for a card named Minnowism, reveal it, put it into your hand, then shuffle your deck.”, where the latter effect is an inline-triggered effect that is conditional on the payment of the preceding effect-cost.
6.6.2a	An inline-triggered effect does not trigger retroactively if the condition is met after the effect is generated.
6.6.3.	A delayed-triggered effect is a layer-continuous triggered effect. Delayed triggered effects typically contain, but do not start with the phrase “(when / whenever / at / the [ORDINAL] time / the next time)”, or they start with the phrase “The next time”.
6.6.3a	A delayed triggered effect always specifies its duration, unless it is conditional on a change in phase (end of turn) or step (combat chain closes), in which case the effect lasts until it is triggered.
6.6.4.	A static-triggered effect is a static-continuous triggered effect. Static triggered effects typically start with the phrase “[LIMIT?] (When / Whenever)” or “At / The [ORDINAL] time)”. Note: Cards printed before 2022 have also used the format “[LIMIT] Effect — [EFFECT]”, where LIMIT (if any) specifies the maximum number of times the triggered effect can be triggered, and EFFECT specifies the triggered effect of the ability. Example: Rhinar has the text “When you discard a card with 6 or more {p} during your action phase, intimidate.”, which is a static-triggered effect that triggers and creates a triggered-layer when you discard a card with 6 or more {p}, and when that triggered-layer resolves, the intimidate effect is generated.
6.6.5.	If a game event or game state meets a triggered effect’s trigger condition, the effect is considered triggered. When an effect is triggered, it creates a triggered-layer.
6.6.5a	A triggered effect must exist before an event or change in state occurs that satisfies its trigger condition, for it to be triggered. If a triggered effect is generated after an event or change in state occurs that satisfies its trigger condition, it does not retroactively trigger. The exception is inline- triggered effects, which triggers as it is generated if its trigger condition is met.
6.6.5b	An event-based triggered effect only triggers if an event that meets the triggered condition occurs. If the event is modified before it occurs and no longer meets the triggered condition, the effect does not trigger (see Section 6.4 - Replacement Effects). If the trigger condition also includes a state-trigger condition, that condition must also be met by the game state at the time the event occurs for the effect to trigger.
6.6.5c	A state-based triggered effect only triggers if the game state did not initially meet the trigger condition, then changes and meets the trigger condition.
6.6.5d	If the trigger condition is proceeded by an ordinal as part of the condition, the effect will only trigger on the specified ordinal time(s) the condition is met, relative to the specified duration. If the effect becomes functional after the specified ordinal time(s) the condition would be met, the effect will not trigger for the rest of the specified duration. Example: If a card has the text “The first time you boost each turn, gain an action point.”, and it put into the arena as a permanent after you’ve boosted that turn, it will not trigger the next time you boost that turn because the ordinal time “first” is relative to the turn and has already happened.
6.6.5e	If the triggered effect is triggered, but it would exceed the maximum number of times specified by the trigger limit (if any), the triggered-layer is not created and will not be added to the stack.
6.6.5f	If the triggered effect is triggered, but there is an effect that prevents it from triggering, the triggered-layer is not created and will not added to the stack. However, the triggering still counts towards the limit of the effect (if any). Example: Katsu has the text “The first time an attack action card you control hits each turn, [...]” and Tripwire Trap has the text ”Hit effects don’t trigger this chain link [...]”. If the Tripwire Trap continuous effect is active and the player that controls Katsu hits with an attack action card, the Katsu triggered effect will not produce a triggered-layer on the stack because Tripwire Trap continuous effect prevents it. The next time this turn the player that controls Katsu hits with an attack action card, the Katsu triggered effect will not produce a triggered-layer on the stack because the once per turn limit has already been reached.
6.6.6.	When a triggered-layer is created, it is added to the stack before the next player receives priority as a game state process. (See Rule 1.10.2)
6.6.6a	When a triggered-layer is added to the stack, the player that controls the effect must declare the parameters of all abilities of that layer. If the card has any modal resolution abilities, the player must declare the modes for those abilities (see Rule 1.7.6). Then, if any resolution abilities generate effects that require a target, the player must declare all legal targets for those effects Rule 1.8.4.	If no legal targets can be declared, the triggered-layer ceases to exist and is not added to the stack.
7.	Combat
7.0.	General
7.0.1.	Combat is a game state where the combat chain is open and attacks undergo resolution in steps on the stack and combat chain. The resolution of a chain link consists of seven steps in order: Layer, Attack, Defend, Reaction, Damage, Resolution, and Link.
7.0.2.	An attack is either a card with the subtype attack on the stack, an attack-layer, or an attacking object. (See Rule 1.2.4)
7.0.3.	The combat chain starts closed. If the combat chain is closed and an attack is added to the stack, the combat chain opens and the Layer Step begins immediately. The combat chain remains open until it is closed again (see Rule 7.8.2).
7.0.4.	A card or ability with the subtype attack cannot be played/activated if a rule or effect would prevent the player from attacking with that card/ability.
